,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
226665,M,22.0,183.0,73.0,1972,Summer,Gold,United States,Munich,Swimming,21.8,
226666,M,22.0,183.0,73.0,1972,Summer,Gold,United States,Munich,Swimming,21.8,
226667,M,22.0,183.0,73.0,1972,Summer,Gold,United States,Munich,Swimming,21.8,
226668,M,22.0,183.0,73.0,1972,Summer,Gold,United States,Munich,Swimming,21.8,
226753,F,28.0,187.0,68.0,1996,Summer,Bronze,Australia,Atlanta,Basketball,19.45,
226754,F,32.0,187.0,68.0,2000,Summer,Silver,Australia,Sydney,Basketball,19.45,
226755,F,36.0,187.0,68.0,2004,Summer,Silver,Australia,Athina,Basketball,19.45,
226760,F,27.0,182.0,80.0,2008,Summer,Gold,Czech Republic,Beijing,Athletics,24.15,
226761,F,31.0,182.0,80.0,2012,Summer,Gold,Czech Republic,London,Athletics,24.15,
226762,F,35.0,182.0,80.0,2016,Summer,Bronze,Czech Republic,Rio de Janeiro,Athletics,24.15,
226801,M,22.0,196.0,92.0,2008,Summer,Silver,Australia,Beijing,Swimming,23.95,
226802,M,26.0,196.0,92.0,2012,Summer,Silver,Australia,London,Swimming,23.95,
226803,M,26.0,196.0,92.0,2012,Summer,Bronze,Australia,London,Swimming,23.95,
226807,M,19.0,190.0,88.0,2004,Summer,Silver,Australia,Athina,Swimming,24.38,
226820,M,24.0,170.0,64.0,2008,Summer,Bronze,United States,Beijing,Gymnastics,22.15,
226934,M,26.0,181.0,76.0,1980,Summer,Gold,Czechoslovakia,Moskva,Football,23.2,
227250,F,26.0,176.0,79.0,2012,Summer,Bronze,Germany,London,Athletics,25.5,
227336,F,26.0,165.0,58.0,1996,Summer,Gold,United States,Atlanta,Basketball,21.3,
227337,F,30.0,165.0,58.0,2000,Summer,Gold,United States,Sydney,Basketball,21.3,
227338,F,34.0,165.0,58.0,2004,Summer,Gold,United States,Athina,Basketball,21.3,
227349,M,23.0,186.0,75.0,1924,Summer,Bronze,Great Britain,Paris,Athletics,21.68,
227355,F,32.0,179.0,82.0,1984,Summer,Gold,Netherlands,Los Angeles,Athletics,25.59,
227388,M,27.0,177.0,71.0,1980,Summer,Gold,Czechoslovakia,Moskva,Football,22.66,
227403,M,20.0,191.0,81.0,1972,Summer,Silver,United States,Munich,Swimming,22.2,
227404,M,20.0,191.0,81.0,1972,Summer,Silver,United States,Munich,Swimming,22.2,
227405,M,20.0,191.0,81.0,1972,Summer,Gold,United States,Munich,Swimming,22.2,
227470,F,22.0,172.0,63.0,1984,Summer,Gold,Romania,Los Angeles,Athletics,21.3,
227483,M,23.0,197.0,90.0,1972,Summer,Bronze,Cuba,Munich,Basketball,23.19,
227516,M,24.0,187.0,79.0,1952,Summer,Gold,United States,Helsinki,Athletics,22.59,
227517,M,24.0,187.0,79.0,1952,Summer,Gold,United States,Helsinki,Athletics,22.59,
227518,M,28.0,187.0,79.0,1956,Summer,Silver,United States,Melbourne,Athletics,22.59,
227553,M,19.0,190.0,84.0,1948,Summer,Bronze,United States,London,Athletics,23.27,
227554,M,21.0,180.0,80.0,1992,Summer,Silver,Poland,Barcelona,Football,24.69,
227590,F,21.0,195.0,73.0,2016,Summer,Bronze,Serbia,Rio de Janeiro,Basketball,19.2,
227659,F,17.0,152.0,44.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,19.04,
227777,F,29.0,171.0,49.0,1968,Summer,Bronze,East Germany,Mexico City,Gymnastics,16.76,
228068,M,19.0,180.0,68.0,1964,Summer,Gold,United States,Tokyo,Athletics,20.99,
228094,F,22.0,170.0,71.0,1972,Summer,Gold,East Germany,Munich,Athletics,24.57,
228095,F,22.0,170.0,71.0,1972,Summer,Gold,East Germany,Munich,Athletics,24.57,
228096,F,22.0,170.0,71.0,1972,Summer,Silver,East Germany,Munich,Athletics,24.57,
228097,F,26.0,170.0,71.0,1976,Summer,Silver,East Germany,Montreal,Athletics,24.57,
228098,F,26.0,170.0,71.0,1976,Summer,Bronze,East Germany,Montreal,Athletics,24.57,
228099,F,26.0,170.0,71.0,1976,Summer,Gold,East Germany,Montreal,Athletics,24.57,
228114,F,28.0,183.0,73.0,1996,Summer,Gold,United States,Atlanta,Basketball,21.8,
228138,M,23.0,182.0,78.0,2008,Summer,Bronze,Great Britain,Beijing,Athletics,23.55,
228165,M,25.0,180.0,73.0,1948,Summer,Gold,United States,London,Athletics,22.53,
228175,M,28.0,185.0,80.0,1988,Summer,Bronze,Canada,Seoul,Athletics,23.37,
228276,F,26.0,173.0,59.0,2016,Summer,Gold,Greece,Rio de Janeiro,Athletics,19.71,
228370,F,16.0,180.0,60.0,2000,Summer,Bronze,Germany,Sydney,Swimming,18.52,
228372,F,24.0,180.0,60.0,2008,Summer,Gold,Germany,Beijing,Swimming,18.52,
228373,F,24.0,180.0,60.0,2008,Summer,Gold,Germany,Beijing,Swimming,18.52,
228402,M,21.0,180.0,71.0,2004,Summer,Silver,Australia,Athina,Athletics,21.91,
228414,F,20.0,166.0,70.0,1960,Summer,Bronze,Germany,Roma,Swimming,25.4,
228426,F,22.0,170.0,68.0,2000,Summer,Bronze,Germany,Sydney,Football,23.53,
228427,F,26.0,170.0,68.0,2004,Summer,Bronze,Germany,Athina,Football,23.53,
228428,F,30.0,170.0,68.0,2008,Summer,Bronze,Germany,Beijing,Football,23.53,
228490,M,21.0,187.0,75.0,2008,Summer,Silver,France,Beijing,Swimming,21.45,
228522,F,17.0,173.0,62.0,1972,Summer,Bronze,West Germany,Munich,Swimming,20.72,
228530,M,18.0,191.0,77.0,1972,Summer,Silver,West Germany,Munich,Swimming,21.11,
228537,M,22.0,191.0,77.0,1976,Summer,Bronze,West Germany,Montreal,Swimming,21.11,
228543,F,16.0,164.0,56.0,1968,Summer,Bronze,East Germany,Mexico City,Swimming,20.82,
228544,M,25.0,166.0,66.0,1980,Summer,Silver,East Germany,Moskva,Football,23.95,
228550,F,17.0,171.0,64.0,1968,Summer,Silver,Australia,Mexico City,Swimming,21.89,
228642,M,23.0,174.0,64.0,1952,Summer,Bronze,Germany,Helsinki,Athletics,21.14,
228654,F,22.0,160.0,56.0,2016,Summer,Bronze,Switzerland,Rio de Janeiro,Gymnastics,21.88,
228721,F,16.0,167.0,57.0,1984,Summer,Gold,United States,Los Angeles,Swimming,20.44,
228722,F,16.0,167.0,57.0,1984,Summer,Gold,United States,Los Angeles,Swimming,20.44,
228723,F,16.0,167.0,57.0,1984,Summer,Gold,United States,Los Angeles,Swimming,20.44,
228777,F,18.0,175.0,65.0,1988,Summer,Bronze,East Germany,Seoul,Swimming,21.22,
228778,F,18.0,175.0,65.0,1988,Summer,Gold,East Germany,Seoul,Swimming,21.22,
228779,F,18.0,175.0,65.0,1988,Summer,Gold,East Germany,Seoul,Swimming,21.22,
228780,F,22.0,175.0,65.0,1992,Summer,Bronze,Germany,Barcelona,Swimming,21.22,
228879,M,23.0,173.0,64.0,1912,Summer,Bronze,Finland,Stockholm,Athletics,21.38,
228882,M,23.0,173.0,64.0,1912,Summer,Silver,Finland,Stockholm,Athletics,21.38,
228883,M,35.0,173.0,64.0,1924,Summer,Gold,Finland,Paris,Athletics,21.38,
228961,F,25.0,202.0,85.0,2004,Summer,Bronze,Russia,Athina,Basketball,20.83,
228962,F,29.0,202.0,85.0,2008,Summer,Bronze,Russia,Beijing,Basketball,20.83,
229006,F,18.0,182.0,70.0,1936,Summer,Gold,United States,Berlin,Athletics,21.13,
229007,F,18.0,182.0,70.0,1936,Summer,Gold,United States,Berlin,Athletics,21.13,
229090,F,15.0,180.0,77.0,1976,Summer,Gold,United States,Montreal,Swimming,23.77,
229091,F,23.0,180.0,77.0,1984,Summer,Gold,United States,Los Angeles,Swimming,23.77,
229092,F,27.0,180.0,77.0,1988,Summer,Bronze,United States,Seoul,Swimming,23.77,
229093,F,27.0,180.0,77.0,1988,Summer,Bronze,United States,Seoul,Swimming,23.77,
229135,F,23.0,177.0,67.0,1936,Summer,Silver,Germany,Berlin,Athletics,21.39,
229174,M,24.0,188.0,82.0,2004,Summer,Silver,Australia,Athina,Swimming,23.2,
229217,F,25.0,173.0,58.0,1992,Summer,Silver,United States,Barcelona,Athletics,19.38,
229218,F,29.0,173.0,58.0,1996,Summer,Gold,United States,Atlanta,Athletics,19.38,
229229,M,23.0,183.0,77.0,1924,Summer,Gold,United States,Paris,Athletics,22.99,
229260,M,27.0,185.0,81.0,2004,Summer,Silver,United States,Athina,Athletics,23.67,
229284,F,17.0,174.0,70.0,1960,Summer,Bronze,Great Britain,Roma,Swimming,23.12,
229286,F,17.0,174.0,70.0,1960,Summer,Silver,Great Britain,Roma,Swimming,23.12,
229303,F,21.0,193.0,79.0,2016,Summer,Gold,United States,Rio de Janeiro,Basketball,21.21,
229307,F,22.0,165.0,54.0,2012,Summer,Bronze,Canada,London,Football,19.83,
229332,M,23.0,178.0,65.0,1972,Summer,Bronze,Great Britain,Munich,Athletics,20.52,
229348,F,24.0,175.0,61.0,2008,Summer,Silver,Jamaica,Beijing,Athletics,19.92,
229349,F,24.0,175.0,61.0,2008,Summer,Bronze,Jamaica,Beijing,Athletics,19.92,
229352,F,28.0,175.0,61.0,2012,Summer,Silver,Jamaica,London,Athletics,19.92,
229367,M,23.0,188.0,83.0,1992,Summer,Bronze,United States,Barcelona,Swimming,23.48,
229369,M,23.0,188.0,83.0,1992,Summer,Gold,United States,Barcelona,Swimming,23.48,
229370,M,23.0,188.0,83.0,1992,Summer,Gold,United States,Barcelona,Swimming,23.48,
229383,M,19.0,178.0,73.0,1984,Summer,Silver,Jamaica,Los Angeles,Athletics,23.04,
229459,F,18.0,178.0,68.0,1964,Summer,Bronze,United States,Tokyo,Swimming,21.46,
229531,M,28.0,211.0,112.0,2016,Summer,Silver,Serbia,Rio de Janeiro,Basketball,25.16,
229578,F,19.0,178.0,66.0,2000,Summer,Gold,United States,Sydney,Swimming,20.83,
229598,F,18.0,162.0,56.0,1960,Summer,Gold,United States,Roma,Swimming,21.34,
229617,M,25.0,184.0,91.0,1936,Summer,Bronze,Germany,Berlin,Athletics,26.88,
229618,M,25.0,184.0,91.0,1936,Summer,Gold,Germany,Berlin,Athletics,26.88,
229635,F,22.0,174.0,63.0,2004,Summer,Bronze,Germany,Athina,Swimming,20.81,
229645,M,26.0,172.0,66.0,1964,Summer,Bronze,Germany,Tokyo,Football,22.31,
229678,M,30.0,185.0,79.0,1992,Summer,Gold,United States,Barcelona,Basketball,23.08,
229679,M,34.0,185.0,79.0,1996,Summer,Gold,United States,Atlanta,Basketball,23.08,
229681,M,21.0,196.0,88.0,1984,Summer,Silver,Australia,Los Angeles,Swimming,22.91,
229682,M,21.0,196.0,88.0,1984,Summer,Silver,Australia,Los Angeles,Swimming,22.91,
229684,M,21.0,196.0,88.0,1984,Summer,Bronze,Australia,Los Angeles,Swimming,22.91,
229694,M,23.0,197.0,95.0,2008,Summer,Bronze,Australia,Beijing,Swimming,24.48,
229696,M,23.0,197.0,95.0,2008,Summer,Silver,Australia,Beijing,Swimming,24.48,
229698,M,27.0,197.0,95.0,2012,Summer,Bronze,Australia,London,Swimming,24.48,
229719,F,32.0,174.0,105.0,1972,Summer,Bronze,Bulgaria,Munich,Athletics,34.68,
229843,M,19.0,174.0,73.0,1984,Summer,Bronze,Yugoslavia,Los Angeles,Football,24.11,
229926,F,23.0,169.0,53.0,1980,Summer,Silver,East Germany,Moskva,Athletics,18.56,
229973,M,22.0,204.0,100.0,1996,Summer,Bronze,Lithuania,Atlanta,Basketball,24.03,
229974,M,26.0,204.0,100.0,2000,Summer,Bronze,Lithuania,Sydney,Basketball,24.03,
230008,M,21.0,163.0,51.0,1932,Summer,Silver,Great Britain,Los Angeles,Athletics,19.2,
230009,M,18.0,197.0,81.0,1972,Summer,Bronze,United States,Munich,Athletics,20.87,
230010,M,22.0,197.0,81.0,1976,Summer,Bronze,United States,Montreal,Athletics,20.87,
230027,F,28.0,176.0,54.0,2004,Summer,Bronze,Ukraine,Athina,Athletics,17.43,
230037,F,22.0,185.0,68.0,2000,Summer,Silver,South Africa,Sydney,Athletics,19.87,
230038,F,25.0,185.0,68.0,2004,Summer,Silver,South Africa,Athina,Athletics,19.87,
230039,M,38.0,184.0,110.0,1952,Summer,Silver,Germany,Helsinki,Athletics,32.49,
230101,M,21.0,198.0,117.0,2012,Summer,Silver,Germany,London,Athletics,29.84,
230137,M,24.0,175.0,68.0,1928,Summer,Silver,Germany,Amsterdam,Athletics,22.2,
230159,M,24.0,200.0,102.0,2004,Summer,Bronze,United States,Athina,Basketball,25.5,
230160,F,15.0,173.0,61.0,1964,Summer,Silver,United States,Tokyo,Swimming,20.38,
230161,F,15.0,173.0,61.0,1964,Summer,Gold,United States,Tokyo,Swimming,20.38,
230162,F,15.0,173.0,61.0,1964,Summer,Gold,United States,Tokyo,Swimming,20.38,
230163,F,15.0,173.0,61.0,1964,Summer,Gold,United States,Tokyo,Swimming,20.38,
230178,F,27.0,175.0,65.0,1992,Summer,Bronze,Great Britain,Barcelona,Athletics,21.22,
230193,F,18.0,185.0,66.0,2000,Summer,Gold,United States,Sydney,Swimming,19.28,
230261,F,28.0,183.0,75.0,1976,Summer,Bronze,Bulgaria,Montreal,Basketball,22.4,
230268,F,26.0,183.0,75.0,1976,Summer,Bronze,Bulgaria,Montreal,Basketball,22.4,
230269,F,30.0,183.0,75.0,1980,Summer,Silver,Bulgaria,Moskva,Basketball,22.4,
230319,M,20.0,183.0,77.0,1976,Summer,Gold,United States,Montreal,Swimming,22.99,
230376,M,27.0,173.0,61.0,1948,Summer,Silver,Sweden,London,Athletics,20.38,
230507,M,26.0,182.0,62.0,1980,Summer,Silver,East Germany,Moskva,Athletics,18.72,
230527,F,19.0,187.0,82.0,1988,Summer,Silver,East Germany,Seoul,Swimming,23.45,
230545,M,24.0,190.0,86.0,2012,Summer,Gold,France,London,Swimming,23.82,
230546,M,24.0,190.0,86.0,2012,Summer,Silver,France,London,Swimming,23.82,
230549,M,28.0,190.0,86.0,2016,Summer,Silver,France,Rio de Janeiro,Swimming,23.82,
230554,F,15.0,152.0,40.0,1988,Summer,Gold,Soviet Union,Seoul,Gymnastics,17.31,
230595,M,21.0,172.0,75.0,1972,Summer,Bronze,East Germany,Munich,Football,25.35,
230615,M,19.0,182.0,80.0,1956,Summer,Gold,Soviet Union,Melbourne,Football,24.15,
230625,M,19.0,188.0,75.0,1968,Summer,Gold,United States,Mexico City,Swimming,21.22,
230629,M,19.0,170.0,59.0,2016,Summer,Silver,Russia,Rio de Janeiro,Gymnastics,20.42,
230647,F,23.0,172.0,57.0,1948,Summer,Bronze,Australia,London,Athletics,19.27,
230649,F,23.0,172.0,57.0,1948,Summer,Bronze,Australia,London,Athletics,19.27,
230650,F,23.0,172.0,57.0,1948,Summer,Silver,Australia,London,Athletics,19.27,
230651,F,26.0,172.0,57.0,1952,Summer,Bronze,Australia,Helsinki,Athletics,19.27,
230652,F,26.0,172.0,57.0,1952,Summer,Gold,Australia,Helsinki,Athletics,19.27,
230655,F,31.0,172.0,57.0,1956,Summer,Gold,Australia,Melbourne,Athletics,19.27,
230656,F,31.0,172.0,57.0,1956,Summer,Gold,Australia,Melbourne,Athletics,19.27,
230670,F,21.0,159.0,48.0,1932,Summer,Silver,Canada,Los Angeles,Athletics,18.99,
230671,F,21.0,159.0,48.0,1932,Summer,Silver,Canada,Los Angeles,Athletics,18.99,
230703,M,20.0,160.0,50.0,1912,Summer,Bronze,United States,Stockholm,Athletics,19.53,
230722,F,19.0,156.0,48.0,2004,Summer,Gold,Romania,Athina,Gymnastics,19.72,
230738,M,22.0,182.0,78.0,1980,Summer,Silver,East Germany,Moskva,Swimming,23.55,
230842,F,25.0,173.0,63.0,1984,Summer,Silver,Great Britain,Los Angeles,Athletics,21.05,
230849,F,23.0,168.0,55.0,1976,Summer,Bronze,East Germany,Montreal,Athletics,19.49,
230850,F,23.0,168.0,55.0,1976,Summer,Gold,East Germany,Montreal,Athletics,19.49,
230872,F,14.0,142.0,37.0,1992,Summer,Bronze,United States,Barcelona,Gymnastics,18.35,
230878,F,18.0,142.0,37.0,1996,Summer,Gold,United States,Atlanta,Gymnastics,18.35,
230903,F,16.0,182.0,67.0,1980,Summer,Bronze,Soviet Union,Moskva,Swimming,20.23,
230906,F,21.0,158.0,50.0,1972,Summer,Silver,East Germany,Munich,Athletics,20.03,
231043,F,22.0,159.0,52.0,1956,Summer,Silver,Germany,Melbourne,Athletics,20.57,
231044,F,22.0,159.0,52.0,1956,Summer,Silver,Germany,Melbourne,Athletics,20.57,
231063,F,26.0,183.0,66.0,2008,Summer,Silver,United States,Beijing,Athletics,19.71,
231064,F,30.0,183.0,66.0,2012,Summer,Gold,United States,London,Athletics,19.71,
231166,M,19.0,189.0,77.0,1980,Summer,Bronze,Soviet Union,Moskva,Swimming,21.56,
231167,M,19.0,189.0,77.0,1980,Summer,Gold,Soviet Union,Moskva,Swimming,21.56,
231172,M,23.0,191.0,123.0,1992,Summer,Gold,United States,Barcelona,Athletics,33.72,
231243,F,24.0,163.0,61.0,1996,Summer,Silver,Bahamas,Atlanta,Athletics,22.96,
231246,F,29.0,163.0,61.0,2000,Summer,Gold,Bahamas,Sydney,Athletics,22.96,
231262,F,24.0,168.0,60.0,2012,Summer,Bronze,Ukraine,London,Athletics,21.26,
231304,F,33.0,176.0,67.0,1996,Summer,Bronze,Norway,Atlanta,Football,21.63,
231377,M,20.0,181.0,68.0,2008,Summer,Bronze,Cuba,Beijing,Athletics,20.76,
231378,M,24.0,181.0,68.0,2012,Summer,Bronze,Cuba,London,Athletics,20.76,
231431,F,16.0,153.0,40.0,1980,Summer,Bronze,East Germany,Moskva,Gymnastics,17.09,
231465,M,21.0,200.0,100.0,1960,Summer,Bronze,Brazil,Roma,Basketball,25.0,
231466,M,25.0,200.0,100.0,1964,Summer,Bronze,Brazil,Tokyo,Basketball,25.0,
231524,M,26.0,169.0,66.0,2004,Summer,Bronze,Romania,Athina,Gymnastics,23.11,
231600,M,28.0,178.0,68.0,2008,Summer,Silver,Japan,Beijing,Athletics,21.46,
231604,M,22.0,176.0,83.0,2000,Summer,Gold,Cameroon,Sydney,Football,26.79,
231711,M,27.0,168.0,67.0,1968,Summer,Bronze,Japan,Mexico City,Football,23.74,
231765,F,20.0,153.0,43.0,2012,Summer,Silver,China,London,Gymnastics,18.37,
231768,F,31.0,172.0,90.0,1996,Summer,Silver,China,Atlanta,Athletics,30.42,
231819,M,28.0,179.0,76.0,1952,Summer,Silver,Soviet Union,Helsinki,Athletics,23.72,
231820,M,32.0,179.0,76.0,1956,Summer,Silver,Soviet Union,Melbourne,Athletics,23.72,
231822,F,21.0,192.0,94.0,1976,Summer,Gold,Soviet Union,Montreal,Basketball,25.5,
231823,F,25.0,192.0,94.0,1980,Summer,Gold,Soviet Union,Moskva,Basketball,25.5,
231831,M,20.0,196.0,93.0,2008,Summer,Silver,Russia,Beijing,Swimming,24.21,
231876,M,23.0,178.0,76.0,1980,Summer,Bronze,Soviet Union,Moskva,Football,23.99,
231885,M,20.0,195.0,95.0,2016,Summer,Silver,Germany,Rio de Janeiro,Football,24.98,
231888,M,22.0,175.0,63.0,1992,Summer,Bronze,Qatar,Barcelona,Athletics,20.57,
231938,M,22.0,189.0,78.0,2008,Summer,Silver,Australia,Beijing,Swimming,21.84,
231939,M,22.0,189.0,78.0,2008,Summer,Bronze,Australia,Beijing,Swimming,21.84,
231940,M,22.0,189.0,78.0,2008,Summer,Silver,Australia,Beijing,Swimming,21.84,
232069,F,31.0,160.0,45.0,2016,Summer,Gold,Kenya,Rio de Janeiro,Athletics,17.58,
232105,F,20.0,190.0,78.0,2004,Summer,Silver,Australia,Athina,Basketball,21.61,
232106,F,24.0,190.0,78.0,2008,Summer,Silver,Australia,Beijing,Basketball,21.61,
232107,F,28.0,190.0,78.0,2012,Summer,Bronze,Australia,London,Basketball,21.61,
232112,F,23.0,170.0,60.0,1988,Summer,Bronze,Soviet Union,Seoul,Basketball,20.76,
232113,F,27.0,170.0,60.0,1992,Summer,Gold,Unified Team,Barcelona,Basketball,20.76,
232187,F,30.0,162.0,56.0,1996,Summer,Silver,China,Atlanta,Football,21.34,
232211,F,23.0,162.0,60.0,1996,Summer,Silver,China,Atlanta,Football,22.86,
232226,M,20.0,198.0,89.0,2012,Summer,Silver,China,London,Swimming,22.7,
232227,M,20.0,198.0,89.0,2012,Summer,Gold,China,London,Swimming,22.7,
232228,M,20.0,198.0,89.0,2012,Summer,Gold,China,London,Swimming,22.7,
232229,M,20.0,198.0,89.0,2012,Summer,Bronze,China,London,Swimming,22.7,
232230,M,24.0,198.0,89.0,2016,Summer,Gold,China,Rio de Janeiro,Swimming,22.7,
232231,M,24.0,198.0,89.0,2016,Summer,Silver,China,Rio de Janeiro,Swimming,22.7,
232238,F,19.0,169.0,61.0,2008,Summer,Bronze,China,Beijing,Swimming,21.36,
232264,M,25.0,203.0,95.0,1984,Summer,Bronze,Yugoslavia,Los Angeles,Basketball,23.05,
232328,M,24.0,180.0,77.0,1928,Summer,Bronze,Norway,Amsterdam,Athletics,23.77,
232365,M,22.0,168.0,65.0,1912,Summer,Gold,Sweden,Stockholm,Athletics,23.03,
232441,M,25.0,164.0,63.0,1956,Summer,Bronze,Finland,Melbourne,Gymnastics,23.42,
232516,F,26.0,172.0,58.0,1972,Summer,Bronze,Czechoslovakia,Munich,Athletics,19.61,
232546,M,29.0,180.0,81.0,1996,Summer,Gold,Canada,Atlanta,Athletics,25.0,
232564,F,18.0,164.0,50.0,1980,Summer,Bronze,East Germany,Moskva,Gymnastics,18.59,
232615,F,24.0,166.0,54.0,1984,Summer,Bronze,West Germany,Los Angeles,Athletics,19.6,
232838,M,22.0,173.0,69.0,1968,Summer,Bronze,Soviet Union,Mexico City,Swimming,23.05,
232850,M,21.0,180.0,68.0,1988,Summer,Gold,Japan,Seoul,Swimming,20.99,
232914,F,21.0,168.0,62.0,2012,Summer,Bronze,Japan,London,Swimming,21.97,
232915,F,21.0,168.0,62.0,2012,Summer,Silver,Japan,London,Swimming,21.97,
232916,F,21.0,168.0,62.0,2012,Summer,Bronze,Japan,London,Swimming,21.97,
232951,F,20.0,169.0,60.0,2000,Summer,Bronze,Sweden,Sydney,Swimming,21.01,
232956,M,26.0,184.0,86.0,1964,Summer,Silver,Czechoslovakia,Tokyo,Football,25.4,
232968,M,24.0,168.0,59.0,1906,Summer,Silver,Sweden,Athina,Athletics,20.9,
232969,M,24.0,168.0,59.0,1906,Summer,Silver,Sweden,Athina,Athletics,20.9,
232970,M,26.0,168.0,59.0,1908,Summer,Bronze,Sweden,London,Athletics,20.9,
233032,F,23.0,158.0,55.0,1960,Summer,Silver,Czechoslovakia,Roma,Gymnastics,22.03,
233134,M,28.0,180.0,75.0,1932,Summer,Silver,Sweden,Los Angeles,Athletics,23.15,
233196,F,29.0,168.0,62.0,1996,Summer,Bronze,Norway,Atlanta,Football,21.97,
233273,M,23.0,164.0,60.0,1996,Summer,Bronze,Ukraine,Atlanta,Gymnastics,22.31,
233281,M,28.0,164.0,60.0,2000,Summer,Silver,Ukraine,Sydney,Gymnastics,22.31,
233299,M,27.0,181.0,78.0,1980,Summer,Gold,Czechoslovakia,Moskva,Football,23.81,
233368,F,17.0,173.0,65.0,1968,Summer,Bronze,United States,Mexico City,Swimming,21.72,
233369,F,17.0,173.0,65.0,1968,Summer,Gold,United States,Mexico City,Swimming,21.72,
233437,M,22.0,188.0,79.0,1936,Summer,Gold,United States,Berlin,Basketball,22.35,
233451,M,27.0,182.0,75.0,1920,Summer,Gold,Belgium,Antwerpen,Football,22.64,
233539,M,20.0,181.0,80.0,1992,Summer,Silver,Poland,Barcelona,Football,24.42,
233621,F,25.0,182.0,72.0,1996,Summer,Gold,United States,Atlanta,Basketball,21.74,
233622,F,29.0,182.0,72.0,2000,Summer,Gold,United States,Sydney,Basketball,21.74,
233623,F,33.0,182.0,72.0,2004,Summer,Gold,United States,Athina,Basketball,21.74,
233672,M,20.0,187.0,82.0,1980,Summer,Gold,Soviet Union,Moskva,Swimming,23.45,
233717,F,27.0,178.0,72.0,1968,Summer,Silver,Austria,Mexico City,Athletics,22.72,
233729,M,23.0,185.0,78.0,2000,Summer,Silver,Ukraine,Sydney,Swimming,22.79,
233754,M,28.0,197.0,93.0,1980,Summer,Silver,Italy,Moskva,Basketball,23.96,
233839,F,27.0,176.0,58.0,1980,Summer,Silver,Soviet Union,Moskva,Athletics,18.72,
233840,F,27.0,176.0,58.0,1980,Summer,Gold,Soviet Union,Moskva,Athletics,18.72,
233908,F,16.0,145.0,40.0,1984,Summer,Silver,Romania,Los Angeles,Gymnastics,19.02,
233909,F,16.0,145.0,40.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,19.02,
233910,F,16.0,145.0,40.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,19.02,
233911,F,16.0,145.0,40.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,19.02,
233913,F,16.0,145.0,40.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,19.02,
233916,F,20.0,158.0,42.0,1996,Summer,Silver,Romania,Atlanta,Athletics,16.82,
233918,F,24.0,158.0,42.0,2000,Summer,Bronze,Romania,Sydney,Athletics,16.82,
233919,F,24.0,158.0,42.0,2000,Summer,Gold,Romania,Sydney,Athletics,16.82,
233936,M,19.0,186.0,83.0,1988,Summer,Gold,Hungary,Seoul,Swimming,23.99,
233984,F,18.0,175.0,60.0,1992,Summer,Silver,Hungary,Barcelona,Swimming,19.59,
234056,M,21.0,176.0,72.0,1968,Summer,Gold,Hungary,Mexico City,Football,23.24,
234105,M,26.0,176.0,71.0,1968,Summer,Gold,Hungary,Mexico City,Football,22.92,
234106,M,25.0,177.0,72.0,1976,Summer,Silver,Poland,Montreal,Football,22.98,
234150,F,22.0,156.0,52.0,1956,Summer,Bronze,Poland,Melbourne,Gymnastics,21.37,
234278,M,25.0,186.0,75.0,1964,Summer,Gold,Hungary,Tokyo,Football,21.68,
234283,M,24.0,178.0,71.0,1928,Summer,Silver,Hungary,Amsterdam,Athletics,22.41,
234287,M,25.0,178.0,72.0,1964,Summer,Gold,Hungary,Tokyo,Football,22.72,
234303,F,18.0,176.0,60.0,1964,Summer,Silver,Poland,Tokyo,Athletics,19.37,
234304,F,18.0,176.0,60.0,1964,Summer,Gold,Poland,Tokyo,Athletics,19.37,
234305,F,18.0,176.0,60.0,1964,Summer,Silver,Poland,Tokyo,Athletics,19.37,
234306,F,22.0,176.0,60.0,1968,Summer,Bronze,Poland,Mexico City,Athletics,19.37,
234307,F,22.0,176.0,60.0,1968,Summer,Gold,Poland,Mexico City,Athletics,19.37,
234311,F,26.0,176.0,60.0,1972,Summer,Bronze,Poland,Munich,Athletics,19.37,
234312,F,30.0,176.0,60.0,1976,Summer,Gold,Poland,Montreal,Athletics,19.37,
234314,M,20.0,187.0,80.0,1992,Summer,Bronze,Germany,Barcelona,Swimming,22.88,
234409,M,25.0,184.0,77.0,1960,Summer,Gold,Poland,Roma,Athletics,22.74,
234410,M,29.0,184.0,77.0,1964,Summer,Gold,Poland,Tokyo,Athletics,22.74,
234511,M,29.0,162.0,60.0,1972,Summer,Gold,Poland,Munich,Football,22.86,
234559,M,24.0,179.0,74.0,1968,Summer,Gold,Hungary,Mexico City,Football,23.1,
234560,M,28.0,179.0,74.0,1972,Summer,Silver,Hungary,Munich,Football,23.1,
234572,M,21.0,182.0,74.0,1992,Summer,Silver,Poland,Barcelona,Swimming,22.34,
234606,M,21.0,180.0,73.0,1972,Summer,Gold,Poland,Munich,Football,22.53,
234607,M,25.0,180.0,73.0,1976,Summer,Silver,Poland,Montreal,Football,22.53,
